MatchKey,BattingTeam,Score,Wickets,InningsResult,Overs,RPO,Lead,Inns,Result,Opposition,HostCountry,StartDate
352,Australia,292,7,1,196,1.49,71,3,0,South Africa,South Africa,1/24/1958
354,Australia,401,10,1,199.3,2.01,401,1,1,South Africa,South Africa,02/07/1958
354,Australia,1,0,1,0.4,2.5,1,4,1,South Africa,South Africa,02/07/1958
356,Australia,291,10,1,143.1,2.03,77,2,1,South Africa,South Africa,2/28/1958
356,Australia,68,2,1,16.4,4.15,1,4,1,South Africa,South Africa,2/28/1958
365,Australia,186,10,1,96.1,1.94,52,2,1,England,Australia,12/05/1958
365,Australia,147,2,1,69.1,2.13,1,4,1,England,Australia,12/05/1958
367,Australia,308,10,1,133.4,2.31,49,2,1,England,Australia,12/31/1958
367,Australia,42,2,1,22.5,1.87,4,4,1,England,Australia,12/31/1958
369,Australia,357,10,1,171,2.09,138,2,0,England,Australia,01/09/1959
369,Australia,54,2,1,33.2,1.63,-95,4,0,England,Australia,01/09/1959
371,Australia,476,10,1,170.5,2.79,476,1,1,England,Australia,1/30/1959
371,Australia,36,0,1,13.5,2.67,2,4,1,England,Australia,1/30/1959
373,Australia,351,10,1,134.1,2.62,146,2,1,England,Australia,2/13/1959
373,Australia,69,1,1,17.1,4.04,1,4,1,England,Australia,2/13/1959
383,Australia,225,10,1,78.5,2.87,25,2,1,Pakistan,Bangladesh,11/13/1959
383,Australia,112,2,1,48.1,2.33,3,4,1,Pakistan,Bangladesh,11/13/1959
384,Australia,391,9,0,118.3,3.31,245,2,1,Pakistan,Pakistan,11/21/1959
384,Australia,123,3,1,25.3,4.86,2,4,1,Pakistan,Pakistan,11/21/1959
385,Australia,257,10,1,82.2,3.13,-30,2,0,Pakistan,Pakistan,12/04/1959
385,Australia,83,2,1,33,2.52,41,4,0,Pakistan,Pakistan,12/04/1959
386,Australia,468,10,1,143,3.27,333,2,1,India,India,12/12/1959
387,Australia,219,10,1,77.5,2.83,67,2,0,India,India,12/19/1959
387,Australia,105,10,1,57.4,1.83,19,4,0,India,India,12/19/1959
388,Australia,387,8,0,140,2.76,98,2,0,India,India,01/01/1960
388,Australia,34,1,1,8,4.25,-94,4,0,India,India,01/01/1960
390,Australia,342,10,1,153,2.24,342,1,1,India,India,1/13/1960
391,Australia,331,10,1,111.1,2.98,137,2,0,India,India,1/23/1960
391,Australia,121,2,1,52,2.33,-81,4,0,India,India,1/23/1960
403,Australia,348,10,1,88.1,3.95,348,1,1,West Indies,Australia,12/30/1960
403,Australia,70,3,1,24.4,2.87,4,4,1,West Indies,Australia,12/30/1960
405,Australia,202,10,1,99,2.04,37,2,0,West Indies,Australia,1/13/1961
405,Australia,241,10,1,96.2,2.51,-222,4,0,West Indies,Australia,1/13/1961
407,Australia,366,10,1,146.2,2.5,-27,2,0,West Indies,Australia,1/27/1961
407,Australia,273,9,1,160,1.71,86,4,0,West Indies,Australia,1/27/1961
409,Australia,356,10,1,162,2.2,64,2,1,West Indies,Australia,02/10/1961
409,Australia,258,8,1,149.1,1.73,1,4,1,West Indies,Australia,02/10/1961
410,Australia,516,9,0,152.5,3.38,321,2,0,England,England,06/08/1961
411,Australia,340,10,1,139.3,2.44,134,2,1,England,England,6/22/1961
411,Australia,71,5,1,20.5,3.46,3,4,1,England,England,6/22/1961
412,Australia,237,10,1,110,2.15,237,1,0,England,England,07/06/1961
412,Australia,120,10,1,52.5,2.29,58,3,0,England,England,07/06/1961
413,Australia,190,10,1,63.4,3,190,1,1,England,England,7/27/1961
413,Australia,432,10,1,171.4,2.52,255,3,1,England,England,7/27/1961
414,Australia,494,10,1,165.5,2.98,238,2,0,England,England,8/17/1961
437,Australia,404,10,1,142.1,2.84,404,1,0,England,Australia,11/30/1962
437,Australia,362,4,0,116,3.12,377,3,0,England,Australia,11/30/1962
438,Australia,316,10,1,122.4,2.58,316,1,0,England,Australia,12/29/1962
438,Australia,248,10,1,128,1.94,233,3,0,England,Australia,12/29/1962
439,Australia,319,10,1,135,2.36,40,2,1,England,Australia,01/11/1963
439,Australia,67,2,1,16.2,4.14,3,4,1,England,Australia,01/11/1963
440,Australia,393,10,1,137.3,2.86,393,1,0,England,Australia,1/25/1963
440,Australia,293,10,1,120.3,2.44,355,3,0,England,Australia,1/25/1963
441,Australia,349,10,1,175,1.99,28,2,0,England,Australia,2/15/1963
441,Australia,152,4,1,96,1.58,-88,4,0,England,Australia,2/15/1963
450,Australia,435,10,1,153,2.84,435,1,0,South Africa,Australia,12/06/1963
450,Australia,144,1,0,46.4,3.1,233,3,0,South Africa,Australia,12/06/1963
451,Australia,447,10,1,157.5,2.84,173,2,1,South Africa,Australia,01/01/1964
451,Australia,136,2,1,49.3,2.76,3,4,1,South Africa,Australia,01/01/1964
452,Australia,260,10,1,83.4,3.12,260,1,0,South Africa,Australia,01/10/1964
452,Australia,450,9,0,134.1,3.36,408,3,0,South Africa,Australia,01/10/1964
455,Australia,345,10,1,125,2.76,345,1,0,South Africa,Australia,1/24/1964
455,Australia,331,10,1,119.1,2.78,81,3,0,South Africa,Australia,1/24/1964
457,Australia,311,10,1,122.5,2.54,311,1,0,South Africa,Australia,02/07/1964
457,Australia,270,10,1,151.5,1.78,170,3,0,South Africa,Australia,02/07/1964
463,Australia,168,10,1,78.3,2.15,-48,2,0,England,England,06/04/1964
463,Australia,40,2,1,9.2,4.35,-201,4,0,England,England,06/04/1964
464,Australia,176,10,1,84,2.1,176,1,0,England,England,6/18/1964
464,Australia,168,4,1,74,2.27,98,3,0,England,England,6/18/1964
465,Australia,389,10,1,158.3,2.46,121,2,1,England,England,07/02/1964
465,Australia,111,3,1,57,1.95,3,4,1,England,England,07/02/1964
466,Australia,656,8,0,255.5,2.57,656,1,0,England,England,7/23/1964
466,Australia,4,0,1,2,2,49,3,0,England,England,7/23/1964
467,Australia,379,10,1,177.3,2.14,197,2,0,England,England,8/13/1964
468,Australia,211,10,1,72,2.93,211,1,1,India,India,10/02/1964
468,Australia,397,10,1,158.4,2.51,332,3,1,India,India,10/02/1964
469,Australia,320,10,1,103.5,3.09,320,1,0,India,India,10/10/1964
469,Australia,274,10,1,99.4,2.76,253,3,0,India,India,10/10/1964
470,Australia,174,10,1,84.5,2.06,174,1,0,India,India,10/17/1964
470,Australia,143,1,1,46,3.11,82,3,0,India,India,10/17/1964
471,Australia,352,10,1,133.5,2.64,-62,2,0,Pakistan,Pakistan,10/24/1964
471,Australia,227,2,1,82,2.77,14,4,0,Pakistan,Pakistan,10/24/1964
472,Australia,448,10,1,123.1,3.64,161,2,0,Pakistan,Australia,12/04/1964
472,Australia,88,2,1,15.3,5.75,-77,4,0,Pakistan,Australia,12/04/1964
482,Australia,217,10,1,95.4,2.27,-22,2,0,West Indies,West Indies,03/03/1965
482,Australia,216,10,1,78.5,2.75,79,4,0,West Indies,West Indies,03/03/1965
486,Australia,516,10,1,215.5,2.39,87,2,0,West Indies,West Indies,3/26/1965
490,Australia,179,10,1,64.5,2.78,76,2,0,West Indies,West Indies,4/14/1965
490,Australia,144,10,1,58.2,2.47,-212,4,0,West Indies,West Indies,4/14/1965
491,Australia,650,6,0,189,3.44,650,1,0,West Indies,West Indies,05/05/1965
491,Australia,175,4,0,53.2,3.29,252,3,0,West Indies,West Indies,05/05/1965
492,Australia,294,10,1,128,2.3,70,2,1,West Indies,West Indies,5/14/1965
492,Australia,63,0,1,18,3.5,2,4,1,West Indies,West Indies,5/14/1965
499,Australia,443,6,0,182.4,2.43,443,1,0,England,Australia,12/10/1965
500,Australia,358,10,1,143.3,2.5,358,1,0,England,Australia,12/30/1965
500,Australia,426,10,1,155.2,2.74,226,3,0,England,Australia,12/30/1965
501,Australia,221,10,1,112.1,1.97,-267,2,0,England,Australia,01/07/1966
501,Australia,174,10,1,80.3,2.17,-93,3,0,England,Australia,01/07/1966
502,Australia,516,10,1,168,3.07,275,2,1,England,Australia,1/28/1966
503,Australia,543,8,0,205.4,2.64,58,2,0,England,Australia,02/11/1966
